msa_id	total_tree_length	mean_branch_length	median_branch_length	max_root_to_leaf_depth	median_root_to_leaf_depth	n_leaves	n_branches
0	65.0622672479	0.5204981379832	0.4275490874	7.5954404016999995	5.4787546811	64	125
1	28.9017966409	0.4587586768396825	0.3909135074	7.1729126298	2.5932999527000002	33	63
10	24.9673344323	0.35165259763802814	0.2023456747	4.3828039037	1.7781733972000002	37	71
100	13.8683073683	0.44736475381612906	0.2320575719	2.3675819863000003	1.6075452004000002	17	31
1002	14.7705587086	0.5093296106413793	0.282978927	2.6852867719	2.25351389295	16	29
1003	9.8284298206	0.26563323839459463	0.1410542014	1.8976963002	1.1969879569499997	20	37
1005	44.0310831525	0.5061044040517242	0.2896857475	5.706673786	4.4251601673000005	45	87
1006	25.7805566166	0.5055011101294117	0.3934389446	4.9669917411	2.7934048664000004	27	51
1008	0.424313874	0.06061626771428571	0.0572062542	0.22533072910000002	0.15604536689999998	5	7
1009	84.6026010807	0.3793838613484305	0.2695614562	5.111645254199999	3.5140966903999997	113	223
1010	4.0066376921	0.26710917947333335	0.2499813266	2.1692478587	0.6219990242	9	15
1012	26.2181910164	0.32368137057283947	0.2466140982	6.0377076729	4.6732619678	42	81
1016	13.1971741663	0.3999143686757576	0.3519889381	2.2440234838	1.41014549735	18	33
1017	17.2719826294	0.3674889921148936	0.271412684	4.298450528099999	2.6306290774	25	47
1018	23.7401220526	0.5275582678355556	0.4609479957	4.1239481543	2.7737327496499997	24	45
1019	7.8229134464	0.34012667158260873	0.3546788633	1.9341952980000001	1.6306973141999999	13	23
102	15.2014895107	0.29806842177843135	0.2342984327	3.1211828939	1.8135626539999998	27	51
1020	91.0486709774	0.5874107804993548	0.4109683675	8.371430428	5.372717504100001	79	155
1021	9.3936494059	0.375745976236	0.2305137494	3.8136546080000002	0.8895716516	14	25
1022	48.8516610365	0.5488950678258426	0.3543845455	7.0577389195	3.2013166007000002	46	89
1023	9.3428375624	0.40621032879999996	0.2763801395	1.8184541186	1.2602191017000002	13	23
1024	11.1353478537	0.31815279582	0.2087421092	3.1920474073	1.7381708913	19	35
1026	35.9333354758	0.355775598770297	0.2311347411	3.2541337892	2.69163924985	52	101
1027	22.5568040609	0.6835395169969697	0.3814644714	4.665950974799999	2.3254019714	18	33
1030	26.156708691	0.6706848382307692	0.2677815622	13.3198050983	1.3169416309	21	39
1031	12.5974016749	0.3817394446939394	0.2836229799	2.9274210705	1.6733334528	18	33
1032	7.5006008211	0.8334000912333334	0.3939216116	3.2466151933	1.6435506638	6	9
1033	3.8703174128	0.5529024875428571	0.6075416196	1.3240261286000001	0.890847537	5	7
1034	13.2709651852	0.5769984863130435	0.3046632229	6.385554991399999	5.174867433499999	13	23
1036	9.7189387704	0.3351358196689655	0.1888606338	2.0001685511	0.8666232407500001	16	29
1037	1.2742227452000001	0.25484454904000003	0.1946058563	0.6530645436	0.24577223655	4	5
1039	14.538053210100001	0.8551796005941177	0.2733344903	7.675108493400001	0.8794313189	10	17
